Puzzle,Solution,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
..5.2...1.294..37.1...3......1......3.2.7.....941...2.......7.....8..4...8.2...59,735926841629418375148735296871692534362574918594183627956341782217859463483267159,25,53,19,3,0,1,0,2,2,Expert,
4.1.8.5.6.8.3...4..3...9......7.....1...3....5......1...6..395.849...16.......7..,491287536687351249235469871964718325128635497573924618716843952849572163352196784,25,52,4,0,0,0,0,0,0,Easy,
4.7.2..6..9...3....32..9..4...9....79....4........7.......3865...6....8.58.6..793,457821369698473125132569874814956237973284516265317948749138652326795481581642793,27,44,10,0,0,0,0,0,0,Easy,
...6..53....3.28.6....48........31........673.2.8..........4.1..13.7..2..8.2....5,842619537179352846635748291756493182498125673321867954267584319513976428984231765,25,42,14,0,0,0,0,0,0,Easy,
9...5.4...3847..5..6.9.278.4.25..3........9..79...3.2.6.9...............253.....6,927358461138476259564912783412569378386247915795183624649825137871634592253791846,28,43,10,4,0,0,0,0,0,Intermediate,
8.92.....2.3...98...........4..7.3.153.4.....7....2....8...1..4....3...9..58..723,869253147253147986174689532642578391531496278798312465387921654426735819915864723,26,37,18,0,0,0,0,0,0,Easy,
..234..6.......8..3.....5.48..4..1.2..6..9..84.1..5.....426.........1......85.6..,152348967647592831389617524895436172736129458421785396914263785568971243273854619,25,42,14,0,0,0,0,0,0,Easy,
...8..452.9.6.......842.6.37.35.....95.2...4......3....26......4..9.....83..4....,367819452294635718518427693783594126951286347642173589126358974475962831839741265,26,47,8,0,0,0,0,0,0,Easy,
....286...3956..42........9.....4..........3485.......2..6.......73...9....857...,145928673739561842628473159372194568961785234854236917213649785587312496496857321,23,45,13,1,1,1,0,0,0,Intermediate,
7..589...9.8..3....2....1..6.....3...3....5..1.5........1..8.92..9..68.....7...6.,716589234948123675523647189694815327237964518185372946361458792479236851852791463,24,38,19,0,0,0,0,0,0,Easy,
.9.7...3..3..6......19....696..2.....28......3....975.......1...7.5.3.6..8..1...3,496752831832461597751938426967125384528374619314689752243896175179543268685217943,25,73,15,0,2,1,0,8,6,Expert,
......41.5.........43.29..6....341.2......795..........675..3..3.9...24...12.....,926357418578416923143829576895734162634182795712965834267541389359678241481293657,25,49,7,0,0,0,0,0,0,Easy,
.....9...21..3.76.6.....2...3.6...1.7....4.8...8.916.4....1.....7...8..3.........,857269341214835769693147258439682517761354982528791634342916875176528493985473126,23,58,0,0,0,0,0,0,0,Simple,
....1...44.......5.59.........3....2.....5...73...96..1.4..32.9...4..7..273...1..,328516974417892365659734821841367592962185437735249618184673259596421783273958146,24,40,17,0,0,0,0,0,0,Easy,
.2.7.4......81..3...8...4.....94...3.....6.19.....26....63..8..9...7...1....69.7.,523794186467815932198623457681947523342586719759132648276351894935478261814269375,25,49,7,0,0,0,0,0,0,Easy,
4.9....58.17...26..2........8...1.421..96.7...9..7........42..75..........8...5..,439627158817435269625189374786351942152964783394278615961542837573896421248713596,25,53,3,0,0,0,0,0,0,Easy,
3.7......65.....74.......38..3.......6.4....95.179.........7.96..4.31.8.7.....4..,317864925658329174429175638973586241862413759541792863185247396294631587736958412,25,75,13,0,1,1,0,5,4,Expert,
.....7981.3....76.....1...4.435.....5....341.619.......57...8..8......9....75....,425367981931485762786219354243591678578623419619874235157946823864132597392758146,26,50,16,2,0,2,1,3,2,Expert,
.....7......9......7..34..86....2..438.49...79.........1..........6.82....9.1..3.,493867152568921473172534968657182394381496527924753681216379845735648219849215736,22,46,15,0,1,4,0,2,2,Expert,
.......726572..8.4.1........35...4...8.65.2..7......1....1.....14..8...6.6...754.,894536172657291834213478659935712468481653297726849315572164983149385726368927541,27,37,16,1,0,0,0,1,0,Expert,
46.57...8.8.......5....2.7..2.18.....7...9.86..94.....2.89.4...7...2.....1....5..,462573198387691254591842673624187935175239486839456721258914367746325819913768542,26,37,18,0,0,0,0,0,0,Easy,
.......15...1..7.....83.........3.57..5...2....1.....9..6.1..3.9.2...8.18..6..9..,268749315534126798197835426489263157675491283321587649746918532952374861813652974,23,39,19,1,0,0,0,0,0,Intermediate,
.1.8.26....5.79.2..8....7.....9..2.68...6...5..1.87......5......7....8....2.....3,917832654465179328283654791734915286829463175651287439348526917576391842192748563,24,38,19,0,0,0,0,0,0,Easy,
8.......75......1..14..........75..8..5..14....94.83.......4.2..725.3......81..9.,823159647597346812614287935341975268285631479769428351138794526972563184456812793,25,64,14,1,0,1,0,2,2,Expert,
..........92..........75...6....4.21..42..3.5...5.3.94.5........23...76..7..1..43,548126937792348156361975482635794821984261375217583694456837219123459768879612543,25,46,10,0,0,0,0,0,0,Easy,
..2..4.6.8...1.4...54...9..........3.2....61.91.6..28..9..6....6...3...93.598....,732594861869213475154876932476128593528349617913657284291765348687432159345981726,27,35,19,0,0,0,0,0,0,Easy,
8.....2..3967....8.5...........6...3.6...79....825...1...1...57..9......2376.....,871536294396724518452819736725961843163487925948253671684192357519378462237645189,25,44,11,2,0,1,0,1,0,Expert,
..9..2..48.4..6....7.3........8...4.9.6...3...3.4...26.....7..378.....6.1...8.4..,359172684824956137671348295217863549946725318538491726492617853785234961163589472,25,120,14,5,0,1,0,10,18,Expert,
..96....4........3.8....7....6..1....4....2....189...6.73...9.....2....8...96..2.,739682154152479683684135792396721845847356219521894376273548961965217438418963527,22,30,29,1,0,0,0,0,0,Intermediate,
..6..2.757...36..4.8..5.6......7.....1.5..83...2....4.1........675..........87.6.,946812375751936284283754619869473152417529836532168947128645793675391428394287561,25,39,16,1,0,1,0,1,0,Expert,
.68.9......3..4..99....1....5.6...23...15..84.213..9..13.9.............2.......3.,468297315513864279972531468854679123396152784721348956135926847687413592249785631,25,65,27,2,0,1,1,5,6,Expert,
.....4..7....7...5.2.......8..9.2.4.94..8..56.....6.3.45...3...2.9548.6.6....9...,586294317394871625127365498865932741943187256712456839458613972279548163631729584,27,42,12,0,0,0,0,0,0,Easy,
..3.84..248.27.6..........4.........928.56......7928.....6....3.....39..2....87..,693184572481275639572369184764831295928456317315792846859617423147523968236948751,26,45,10,0,0,0,0,0,0,Easy,
......37...2.....58...3...1....1....4........12..8.9....8.54.93...17..2.31.9..54.,651842379932761485847539261769215834485396712123487956278654193594173628316928547,26,39,16,0,0,0,0,0,0,Easy,
......4.8.....4.1..4....537.8..2.154...837..6..........28.7....6.......543..16.2.,312795468875364912946182537783629154154837296269451783528973641691248375437516829,27,57,1,0,1,0,0,5,2,Expert,
9..7.......2......3.8..14...2....8.6..6..5.1........278....713..6....7..25..3...9,915743268642598371378261495521379846786425913439816527894657132163982754257134689,25,61,17,0,0,1,0,4,4,Expert,
4...7.3....5.63..........7............3..5..45418....2..6.8.2...1.6...3..7.24.51.,469572381785163429132498675627914853893725164541836792956381247214657938378249516,26,44,11,0,0,0,0,0,0,Easy,
8.42.91..3.2..5..4....7.......75.......9.4.82...1235..5.7.....1......9.7......3..,864239175372815694915476238629758413153964782748123569537692841286341957491587326,26,48,7,0,0,0,0,0,0,Easy,
71....3..4...738...9.8...2..871....353..2....1.......7.2..4.........8...34.51....,718264359452973861693851724287196543539427186164385297821749635975638412346512978,26,48,7,0,0,0,0,0,0,Easy,
....42........34....96.......8.....4.359...7.9...6.....5.3.6..26.....5..4...5.3.8,187542639526793481349681725768235194235914876914867253851376942693428517472159368,24,83,18,1,1,4,0,7,6,Expert,
....892...2...7.5.5..6..1.71.7.3..9..5....6..8.21..53...37......86.......1.......,471589263628317459539624187167435892354892671892176534243758916786941325915263748,26,53,2,0,0,0,0,0,0,Easy,
......7....5..8.2....4...85.....24.69.....2.......9.51..174..6..4.1..9..62.......,869251743475368129132497685753812496916534278284679351391745862548126937627983514,24,37,20,0,0,0,0,0,0,Easy,
1.9.......2..6......7....242.48.9...........191.72...33....67..79....8...6.4.8.1.,189247635423561978657983124234819567875634291916725483348196752791352846562478319,27,44,10,0,0,0,0,0,0,Easy,
.....3..52.....7......59.4369......8....3..5...4..762...58...........4..86...2...,948713265253468791176259843691524378782936154534187629425871936317695482869342517,23,40,16,2,0,5,0,2,0,Expert,
2...........5...76.........5.9.....7.4.8..1..1...694......9...18..74...5..528.96.,267138549931524876458976213589412637643857192172369458324695781896741325715283964,25,42,14,0,0,0,0,0,0,Easy,
.........3...2.84.1..36.....1..89..6..2..6.....825.9.1..15..........3...89....6..,729845163356921847184367592415789326972136458638254971261598734547613289893472615,24,45,20,3,1,0,0,3,2,Expert,
2...5..1..3..4.67..69.1......792.56.6..1....99.....4...1..6...4..4...7...........,248657913135849672769312845487923561653174289921586437512768394894231756376495128,25,42,22,0,0,0,0,2,2,Expert,
.73.........7...21....56...5..2.1.7.....458.........3....81....1.2...468.4.6....3,673128549854739621219456387536281974927345816481967235365814792192573468748692153,25,67,13,3,1,3,1,3,2,Expert,
.8...7..9...2.......2........4312...2.154..9...58....4.4.....1.35.....78...4....5,483157269769283541512694387894312756271546893635879124948735612356921478127468935,25,48,8,0,0,0,0,0,0,Easy,
..42.....7....8.61......489..2.8..4....1..57.........89.84.5..75..8.6.2.....17.5.,864291735793548261215673489152789346389164572647352198938425617571836924426917853,28,43,10,2,1,1,1,0,0,Intermediate,
...4.8......5..3......716..4.6...51..8...3.6.3.......76..7..1.5....3.2..1..2.47..,273468951861592374945371628496827513587913462312645897624789135758136249139254786,26,53,2,0,0,0,0,0,0,Easy,
923.6...8....7..1.......6.9.6.3.7.......5.19...89...........98....6.1...17....5..,923164758684579213751283649469317825237856194518942367346725981895631472172498536,24,34,23,0,0,1,0,0,0,Intermediate,
87.....5.....54.1...19.....12.6.5...6..428........1...5..7......89.....6.....2.8.,874216953396854217251937648128695374637428195945371862562789431789143526413562789,24,63,3,3,1,4,0,3,2,Expert,
.2...93..1.74.5...4.......8.3.9...71.4.2..9......1...35.....1......71.......2..3.,625789314187435629493162758236948571741253986859617243578394162362871495914526837,24,52,5,0,0,0,0,0,0,Easy,
.368.4..7...1.6.5..85...6...78..5....5..2.178...3............4...1.....272......1,136854927297136854485792613978415236354629178612387495863271549541963782729548361,26,40,15,2,0,5,0,0,0,Intermediate,
8...2......2.9...3.......4.4...79.....824.1.937.8......9.31.2.82..............6.1,837624915142795863956138742421579386568243179379861524694317258215986437783452691,25,40,16,0,0,0,0,0,0,Easy,
..6..958..351..7.....8.2.1.......6..9....6....1.3....8..3.1.8......7..9...9..3...,126739584835164729497852316358491672972586431614327958263915847541678293789243165,24,53,18,0,0,1,0,2,2,Expert,
5...4...894.7....6....6.1..2....95....5...4.......8.72....52..........2486......5,526941738941783256783265149278419563395627481614538972439852617157396824862174395,24,45,20,2,2,5,1,3,2,Expert,
9...1..42..7....9...........28.....1.4..51.2..964..8..4............9..1..8.6...7.,965318742817246593234579186528967431743851629196432857479183265652794318381625974,23,44,19,0,0,0,0,2,2,Expert,
...5....1879..25..5....9...9...4.7...........42..7.......4..3.8..31.5...7.2.3...5,236584971879312546514769832958246713367951284421873659195427368683195427742638195,25,42,14,0,0,0,0,0,0,Easy,
.8.......1.......536............2.1..73.1..866...8.543....743...3.8...71..8.21...,285193467149267835367548192854632719973415286621789543516974328432856971798321654,27,81,13,0,0,0,0,4,6,Expert,
.7.32...9..2..54.69....6..72..6..7.5..3.......86.4......7....2..........86...4.9.,674328159132795486958416237219683745743152968586947312397561824425839671861274593,25,47,9,0,0,0,0,0,0,Easy,
.9.3...8.3..17..2..7..8.41.1....28..64............8....6.9.....827..61....3....4.,291364587384175926576289413139742865648593271752618394465921738827436159913857642,26,82,23,0,1,0,0,6,10,Expert,
...8.2...........63...4.1....12948..6...........13.....6....2.5..2.1..8.918...34.,195862734284371956376549128751294863623758491849136572467983215532417689918625347,25,44,12,0,0,0,0,0,0,Easy,
...9......8.6.4.71......3....18.....6..4..5..8...3.4....9.5.64...7.....3.....67.9,214973865385624971796581324941865237673492518852137496139758642567249183428316759,24,53,4,0,0,0,0,0,0,Easy,
.....1.......3..8.2...4..5..8...42..9.2.5...751.79.3.....17.....73...9..8..3.....,738561429459237186261948753387614295942853617516792348625179834173485962894326571,25,39,16,0,0,2,0,1,0,Expert,
...9..2...1.....695.3....1....2...7...23..........79.....16...78....25..3.75....8,476913285218475369593826714659241873782359641134687952925168437841732596367594128,24,50,7,0,0,0,0,0,0,Easy,
....1..6814.6..29..37...1.47....9..691...4.....27....3......6............6.92.8..,295417368148635297637892154783259416916384725452761983321578649879146532564923871,26,40,15,1,0,0,0,0,0,Intermediate,
....9...1.197...38...3.12.....5........9.7.6.5.3.8...7..26...59........3.6..2....,236895741419762538758341296671534982824917365593286417342678159187459623965123874,25,48,11,0,1,4,2,3,2,Expert,
..3..2...5.2..6........95..3......87..75..6.2....9....71.28.....281...5......5...,463852971592716843871349526359621487147538692286497135715284369928163754634975218,24,34,22,0,0,0,0,1,0,Expert,
5...17.6........2..9..48..18.....4....1.....7.......567....6..94.2...5....9..2.4.,538217964174693825296548731857361492641925387923874156785436219462189573319752648,24,55,19,1,0,0,0,6,6,Expert,
4...8.9....1......6.2.9.7..9..2...6.1....4......3....8817.......3......1.....7.82,475681923391752846682493715953278164128964357764315298817526439236849571549137682,23,133,24,0,1,6,0,12,10,Expert,
.......2...1..247.....1...8.4.9.513.......842.23......83..415.7..42......9..5....,485763921361892475279514368748925136956137842123486759832641597514279683697358214,27,43,10,0,0,0,0,1,0,Expert,
1..9..6....6.......94..5...3.5...42..42.3...8.....4..1.......8..894..5.225......9,127948635536172894894365217315897426642531978978624351461259783789413562253786149,26,71,14,1,0,1,3,2,2,Expert,
....6..5.4.5....7.9.34....8.2...6.......35.....49..5.2.3....6.5.......2.....93.47,712869453485312976963457218528746139196235784374981562837124695649578321251693847,25,30,26,0,0,0,0,0,0,Easy,
1.....4.7..3...5..49.......8..9..............315.4....98.57...1..4.2.37......8..9,158396427273814596496752813827935164649281735315647982982573641564129378731468259,24,51,6,1,0,0,0,0,0,Intermediate,
..3...4.....2..9.72...45..3.2........15.2......7....8...293..51.9.......1.8.5....,683179425451283967279645813824361579915827346367594182742938651596412738138756294,24,40,17,1,0,0,0,0,0,Intermediate,
.....5.3..1......2.9....684....1...5...3..14.12.54...8...4....6...93..1...6...9..,264895731813764592795123684349618275658372149127549368931457826582936417476281953,25,44,12,0,0,1,0,0,0,Intermediate,
.1..58....9..6......4912..5.8.6.5..1........4....8..9.3.1....49....935.2.......8.,613458927592367418874912635289645371167239854435781296351826749748193562926574183,26,43,12,0,0,0,0,0,0,Easy,
5.8.3.4.....27..9..3..8.5..1......23.2....71.......9.5.15.....79.........73.42...,598136472461275398732984561157498623829653714346721985215369847984517236673842159,26,40,14,1,0,0,0,1,0,Expert,
.2.6...1..63......5..18.7.....72...44......8...73.5162..18.........67......2...5.,728634915163579248594182736615728394432916587987345162241853679359467821876291453,26,62,22,2,1,1,0,2,2,Expert,
87.3.....6.31..4....9.7..2..8....7..3.....24..97.1.........3......6.8......4..9.8,875342691623189457149576823286934715351867249497215386918723564534698172762451938,24,38,19,0,0,0,0,0,0,Easy,
..5.2.3..2....9.7..1...7.8.19..5........4.1..3.....74....3....7...1.5.9.5.......4,975428361238619475416537982194756823867243159352891746629384517743165298581972634,24,33,23,0,1,3,1,1,0,Expert,
86....5.7.....69..9..72....47..........4..3...3..8...2.86..34..2....4..67.5.....3,862349517317856924954721638479632851528417369631985742186293475293574186745168293,26,92,26,1,1,2,0,6,6,Expert,
.......2..4.92..6.81........94......7.3.1..48.......762..3.7...6.......2.81.....7,976541823345928761812763459194876235763215948528439176259387614637194582481652397,24,53,4,0,0,3,0,0,0,Intermediate,
..9...3...7...5.4.......1.75..6.......6...9.......4.5..9..4...634.......6..519..8,169487325273165849458923167514698273736251984982734651895342716341876592627519438,23,57,34,0,0,2,1,6,6,Expert,
...7..8......657.1....18......4..5...7.28.4..1.....9..49.1....7.1..9....82...6.4.,361742895248965731759318264982431576576289413134657928495123687617894352823576149,26,46,9,0,0,0,0,0,0,Easy,
.9......5...8..4..1.......971.2..........8546..596..2....57......1..46..4.....8.7,698432175257891463134657289716245938329718546845963721982576314571384692463129857,25,44,12,0,0,0,0,0,0,Easy,
.4.5..2......2..83.9..1..7....85...2.....3.4...........71.4..3...31..4.8...2...1.,347589261615724983892316574764851392528693147139472856271948635953167428486235719,24,40,17,1,0,0,0,0,0,Intermediate,
1....83..............16.....9.4...8.5..6..2...8.9..13..2.....9.3......1...9.1.642,142598367968732451735164928293471586514683279687925134421856793376249815859317642,24,39,18,0,0,0,0,0,0,Easy,
.1.5..6.9...9...12.........4527..9.....65.4....6.....81982..5......6.....75.4....,813524679547986312269371845452718936981653427736492158198237564324865791675149283,26,42,13,3,0,0,0,0,0,Intermediate,
.194.6.......5.........9......891.3.65...4....8.......5.....8.74...8..61....7.9.5,719436258362758194845219673274891536651324789983567412596143827427985361138672945,24,41,16,0,0,0,0,0,0,Easy,
...9426.........5.6.....2.9...418......67..15.9.......24.8..5.17....186........7.,815942637924736158637185249576418923382679415491253786243867591759321864168594372,26,40,15,2,0,0,0,0,0,Intermediate,
35.8...6.4......2....2..9.....7..6.9..6.3..8..7.9...3...4..5.........87.5...6...3,352819467489657321761243958235784619946531782178926534824375196613492875597168243,24,34,22,5,0,3,0,1,0,Expert,
..938652..5...18.31....5..........8........7..86.2....2..7..9...91.3...6......7..,479386521652471893138295467527643189314859672986127354265714938791538246843962715,25,41,15,0,0,0,0,0,0,Easy,
..5....71...1..3.5..9....64....1....65...8.1...7....43..4.9...8.3..85...7......9.,325864971476129385819573264248317659653948712197256843564792138931685427782431596,25,63,9,2,0,2,0,2,2,Expert,
6.8.5..9......9..55....2......5.......142.5.......1..3.9.1.38.2.64...3..8...94...,618357294372849615549612738487536921931428567256971483795163842164285379823794156,26,37,18,0,0,0,0,0,0,Easy,
.8.....3.52..3...99....47..6....9.74.7.....96....5.2.......76.......2...8.43.....,486975132527138469931624785615289374278413596349756218192847653763592841854361927,24,36,21,2,0,1,0,0,0,Intermediate,
63....7.1........39..8.......71.58..8.6..715.....4.....9..3....1......964.8......,635429781281576943974813265347165829826397154519248637792634518153782496468951372,24,74,19,1,1,5,0,6,8,Expert,
7.93..........6.....34.......52..4...3....9..2.4.17.5..9..4.3.2....7....41..9.5..,789321645541786239623459781975238416138564927264917853897145362356872194412693578,25,36,20,0,0,0,0,0,0,Easy,
.....46........7.86..5...9.5.4..6...8..............4..97.8.3..6..6..91..3.8.4...5,783294651459361728621578394594126837862437519137985462975813246246759183318642975,24,46,11,1,3,2,0,0,0,Intermediate,
8....39.5.1.....83.....24..3..2.8.9.2.....8......4...6....1.........9...9.43...5.,827463915416597283593182467361278594249635871785941326652814739138759642974326158,23,40,18,2,0,0,0,0,0,Intermediate,
.34.6175...6.2.3...5.7...81..1.5...................12.2...1456..8...5....1.2...7.,834961752176528394952743681741852936529136847368497125297314568483675219615289473,27,50,4,0,0,0,0,0,0,Easy,
74.........5.41..8...9....2.2..179.....6951..6..2.........7.5.......6..9...52..7.,749862315235741698168953742523417986874695123691238457982374561457186239316529874,25,36,20,0,0,0,0,0,0,Easy,
......5...58..6....764.3.8....87....4.........62...43..8...7...2...9...6....4...9,124789563358126794976453281593874612417362958862915437689237145241598376735641829,23,38,20,0,0,0,0,0,0,Easy,
9..4.......8.6..1.....18.6..5...49.8.....1..223.....51....3.28.31..82......9.....,961473825548269317723518469156724938879351642234896751495137286317682594682945173,26,53,21,0,0,3,0,2,2,Expert,
.4..251.96....43...596...4......8....13....5............5.42....6.3..4..9....1.3.,348725169627194385159683247596418723413279856782536914835942671261357498974861532,25,42,14,2,0,0,0,0,0,Intermediate,
......21.7.........3.41875...4..9.78......4........9.1.87.3....14..8....3.9.418..,458673219761295384932418756214359678893167425675824931587936142146782593329541867,27,31,22,0,0,1,0,1,0,Expert,
5.........84.5...39....6...83...41..6.5.382..2..6..5........32..2.....64.......9.,562413987784952613913786452839524176675138249241679538497861325128395764356247891,25,75,6,3,0,0,0,6,8,Expert,
..6.....4...4.1......96.2...9.....3...26.3..7.412....8...1.........87.9.7.3......,916732584238451769574968213697845132852613947341279658489126375125387496763594821,23,58,16,2,0,0,2,3,2,Expert,
....9....6.7.1..8.23....7.13.1.68..2.68.41..7............78....894............1..,185697324647312985239854761371568492968241537452973816513786249894125673726439158,25,50,5,0,0,0,0,1,0,Expert,
..9.....8.2..9..1.15.3874..9.......4.7....5.381..3...9...42....5............58..1,739142658428596317156387492963875124274961583815234769681423975542719836397658241,26,50,4,0,0,2,0,1,0,Expert,
.7........35.........4....58...743..6....31.....68..5.5..1...37.2......6.1.8.62..,276915483435768921189432675891574362657293148342681759564129837928347516713856294,25,37,31,1,1,2,0,2,2,Expert,
..1.628............47.9.....94..........7...1......9...6..1.4.3.8..391.7..2..86.9,931462875256187394847593216594321768628974531173856942769215483485639127312748659,25,49,7,0,0,0,0,0,0,Easy,
4.7.63..2.6.92.........59....87.9.6....8......3..4....7......2...539.4.7...6.....,497163852563928741821475936158739264274856319936241578789514623615392487342687195,25,33,23,1,0,0,0,0,0,Intermediate,
...3..25.14..2.8.....79...351..3.49..7........8..47.3......8......47.......1.9.84,697384251143625879258791643512836497374912568986547132439258716861473925725169384,27,38,16,1,0,0,0,0,0,Intermediate,
........2....96..11.8.42.7..75.....42..9.....9...8..1..8.6..9......51.......2...5,759138462423796851168542379875213694214967538936485217581674923392851746647329185,24,41,16,0,0,0,0,0,0,Easy,
.2.1...6.....564......7..28....1589........4...26.9..7....8275..5........8....1..,724198365398256471561473928476315892915827643832649517143982756659731284287564139,25,41,15,0,0,0,0,0,0,Easy,
5..84.....3..21..8......1.....73.....7.4.....4...983.5.....9...8.51..94.......753,591846237734921568286357194658732419973415682412698375347569821825173946169284753,26,36,19,0,0,0,0,0,0,Easy,
.9....3.5..49.....57..32.1.1.2...5..7............1.83.2...7..9..43.....7......154,691487325324951768578632419182349576736528941459716832215874693943165287867293154,26,48,12,1,0,0,0,3,2,Expert,
59.26...1...49...8..81....216.......4...26.1........7.....5....2.5.....9.4...16..,594268731721493568638175492163789254479526813852314976386952147215647389947831625,25,132,21,2,0,2,0,18,34,Expert,
..18..9..6.9..4..578......4...1.84...9...581.1..6..5.2.........4.6.9.......4....7,541827963629314785783956124265138479394275816178649532937582641416793258852461397,26,60,28,0,0,1,1,7,8,Expert,
6.1.5.2...8..4...6..2..3....6..........4.85..81........3....14.5.73.1.6..2......7,671859234389142756452673918265917483793468521814235679938726145547391862126584397,25,32,24,0,0,0,0,0,0,Easy,
.4...95.6...7...427.3..5.......9..3...51...9..............3.12.2....49..1.79.....,841329576659781342723465819418296735365178294972543681594637128236814957187952463,24,43,13,1,0,1,0,1,0,Expert,
....4.1...4.79.26.613......197.2......6.....2......9...........365...7..42.6..359,972346185548791263613258497197425836836179542254863971789532614365914728421687359,27,53,1,0,0,0,0,0,0,Easy,
.28...6.4......3.84..9......691...3...5..9.8...138.2..........2...24...1.....5...,528731694697524318413968725869152437235479186741386259354817962986243571172695843,24,53,11,0,0,1,0,2,2,Expert,
.2.....89........59..36..4.8.....97......4...7...5..6..8.4.6.....9..83...3...2.58,327145689164289735958367241815623974296874513743951862582436197479518326631792458,25,42,14,2,1,2,0,0,0,Intermediate,
..7.....315..3...72...564..6.9.23........4..1..1.65...........4.25....9..46......,867419253154238967293756418689123745532974681471865329318692574725341896946587132,25,44,12,0,0,0,0,0,0,Easy,
..5..3.9...3.29....9..4..61........426..5..38......51..56.328....9...1.6.2.......,645813297713629485892547361531298674267154938984376512156732849379485126428961753,27,41,15,1,0,2,0,3,2,Expert,
..18..6.....7....5.36...8...13..2.5.64......2....5..7...4.....3...6.......8..31..,271835649489761235536249817713482956645197382892356471154928763327614598968573124,23,42,16,0,0,0,0,0,0,Easy,
97.......2.........3.........7.8...168...37.....9.......6..92.7.5.72..3...15..6.8,975641823264378915138295476597482361682153749413967582346819257859726134721534698,24,54,3,0,0,0,0,0,0,Easy,
.2......5....1.2.....7...461...5.72......4.6.....96..8.8.4.5.1.......58.7.......4,328649175476518293519732846164853729895274361237196458683425917941367582752981634,24,40,15,3,1,0,1,2,0,Expert,
.729..4.3......29..5......7......64..235......9........4...7...5.68..9....7..65.2,172968453368745291954123867781239645623584719495671328249357186536812974817496532,25,30,25,1,0,1,0,1,0,Expert,
.4.....6.5.....1.............17......7.9.3.1...31.8.5...4.9...3.9.38...7.5...74..,847219365532876149619435278481752936275963814963148752724591683196384527358627491,24,48,9,0,0,0,0,0,0,Easy,
.8.......3.6.9.....2.7.1..6...31.7...6..4..23..78.......2..8.9......4...1.396...7,784653912316492578529781346258319764961547823437826159672138495895274631143965287,26,47,8,1,0,1,0,0,0,Intermediate,
..3.....6...731...4......1...967.....81..4.9........4..26.1.9..1.7.92..4......18.,713945826268731459495286713549678231681324597372159648826413975157892364934567182,26,28,25,3,0,1,0,2,0,Expert,
...6.1.3.9....27...4.79...15..........1..9.54...2.43.........6..2.....474..5.....,752681439916432785348795621534168972261379854897254316185947263629813547473526198,24,47,10,0,0,0,0,0,0,Easy,
34.1......6.24.8...9..7...6......78......21........4639.....2..........8..241839.,348156927567249831291873546156394782834762159729581463985637214413925678672418395,26,46,9,0,0,0,0,0,0,Easy,
...........38..16...6.1.58...7...3.4..1...7.8.......1..1.7.48.9.9..53...6....9..5,128536947953847162746912583287691354461325798539478216315764829894253671672189435,26,38,16,1,0,5,0,1,0,Expert,
.8..9....65...1..3........99.3...2...7.....5...5....1...673...2...98.......1.2586,782693145659421873431857629943518267178269354265374918816735492524986731397142586,25,42,14,1,0,0,0,0,0,Intermediate,
87..2..46....47......8...9..........6...73...7...56...28.9...67.......5..35..29..,873529146519647823426831795351498672648273519792156438284915367967384251135762984,25,44,12,0,0,0,0,0,0,Easy,
..4.....2.....5......9..58.7....6...2.6.749...4..9...59.......8...2..7..5124.....,354768192879125436621943587795316824286574913143892675937651248468239751512487369,24,36,21,0,0,0,0,0,0,Easy,
.2...8...6...42......39.2.......6.4.5...3.......75...6.6.....8...3...7299..5...34,129678453635142978478395261397816542546239817281754396764923185853461729912587634,25,77,16,3,0,0,1,4,6,Expert,
....1.........9...1.8.5.9......87..6...3...8...4.6.17335.6..8......9...5.8..3.6.9,935716428276849351148253967513487296697321584824965173359674812462198735781532649,26,260,31,7,1,0,1,45,82,Expert,
......2.8....1.7....3.92.5.8.7..1...4...39....2.4..8.1..1..4..359.............9..,165743298942518736783692154857261349416839572329475861271954683598326417634187925,24,44,13,4,0,0,0,0,0,Intermediate,
.5...8.4....41.89....35...2...8..2..5.2.....6..1.....8..6...1...48..9......2.....,157928643263417895894356712639845271582791436471632958926573184348169527715284369,23,39,19,0,0,0,0,0,0,Easy,
..1...2.3...9...8........5.9..283.4.....75...........5.543.7..283..2.9...1...8...,491856273572934186386712459965283741123475698748169325654397812837521964219648537,25,48,8,1,0,1,0,0,0,Intermediate,
............3..218...8.45.7..4..3.75.81......2....68....8.6..4.6..7..3814.....6..,852671934746359218193824567964283175381597426275416893538162749629745381417938652,27,39,15,0,0,0,0,0,0,Easy,
8795....1....7.5..........3.2..5....5.7..13..9.3.67.....2..8......1...8.61....7..,879543621231679548465812973126354897547981362983267154352798416794136285618425739,25,41,15,0,2,7,0,0,0,Intermediate,
3..4.....84...7.....7.....59..25.7....8..1..4..2.4.8....3.......7.5...18...9...37,391485672845627193627139485934258761568791324712346859153872946479563218286914537,25,40,16,0,0,0,0,0,0,Easy,
...4...5.43...2.616........1..........7...4.22.3....1..2.7....3..18..7.....5.1.26,912468357435972861678315294159243678867159432243687519526794183391826745784531926,25,46,10,1,1,1,0,0,0,Intermediate,
...37.2..1...8.76...69.....6......127.912..8...4..3.......9...........769...3..4.,498376251132485769576912834683759412759124683214863597847691325321548976965237148,25,50,19,2,1,0,0,2,2,Expert,
